date,equity,cash,n_positions,exposure,drawdown
2024-06-03,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-06-04,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-06-05,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-06-06,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-06-07,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-06-08,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-06-09,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-06-10,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-06-11,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-06-12,117175.45691075051,95677.0871015753,1,0.18347161065947418,0.0
2024-06-13,116539.74260917021,95677.0871015753,1,0.17901751832042653,0.0054253195877401895
2024-06-14,116420.34072019027,95677.0871015753,1,0.1781755103128432,0.006444320427403045
2024-06-15,117461.81120487719,74571.10387903987,2,0.36514597285603934,0.0
2024-06-16,118222.47414492878,74571.10387903987,2,0.3692307286039095,0.0
2024-06-17,117766.31565527302,96643.07257862859,1,0.1793657461313186,0.003858475243011387
2024-06-18,116907.10491802986,96643.07257862859,1,0.1733344808564844,0.011126219751469723
2024-06-19,116627.92714654627,96643.07257862859,1,0.17135565260288083,0.013487680831546155
2024-06-20,116313.0490883145,96643.07257862859,1,0.16911237959853356,0.01615111737784751
2024-06-21,116477.41747202942,96643.07257862859,1,0.17028489576671638,0.014760786267762383
2024-06-22,116342.12246998289,96643.07257862859,1,0.16932001473874425,0.01590519644040585
2024-06-23,115593.50706549664,96643.07257862859,1,0.163940302253573,0.022237456105082824
2024-06-24,116131.55239242013,96643.07257862859,1,0.16781382330908662,0.017686330519063563
2024-06-25,117801.1330971318,54471.72124012673,3,0.5375959482901358,0.003563967433810147
2024-06-26,117114.08118602063,54471.72124012673,3,0.5348832464167531,0.009375484373211266
2024-06-27,119538.89468541327,76473.97875368805,2,0.3602586090916919,0.0
2024-06-28,118640.84860539236,76473.97875368805,2,0.3554161180349799,0.0075125847732177104
2024-06-29,119037.37999268401,76473.97875368805,2,0.3575633237358878,0.004195410155406506
2024-06-30,120289.32079217413,76473.97875368805,2,0.36424964202920873,0.0
2024-07-01,120410.73726444633,76473.97875368805,2,0.36489070251487854,0.0
2024-07-02,119835.44262244749,76473.97875368805,2,0.36184172995775293,0.0047777686198813025
2024-07-03,118538.63692912344,76473.97875368805,2,0.3548603161396792,0.01554761957159499
2024-07-04,116304.31606414878,76473.97875368805,2,0.34246654516666364,0.034103447031297744
2024-07-05,115679.4579694605,55557.984259043835,3,0.5197247183358069,0.039292835526743605
2024-07-06,117962.5140620816,55557.984259043835,3,0.5290200052043258,0.02033226652360698
2024-07-07,114798.6184815452,94560.33525158693,1,0.17629378730904965,0.04660812574027999
2024-07-08,116529.41238468536,52879.256770194734,3,0.5462153658200006,0.03223404297605782
2024-07-09,117284.90065160178,52879.256770194734,3,0.5491384101754573,0.025959783021505627
2024-07-10,117861.277760123,52879.256770194734,3,0.5513432589979453,0.02117302461759867
2024-07-11,118827.50424067068,52879.256770194734,3,0.5549914381514383,0.013148603353358383
2024-07-12,121583.01163517064,52879.256770194734,3,0.5650769292599246,0.0
2024-07-13,121840.580084839,99322.71801683176,1,0.18481414034903476,0.0
2024-07-14,122314.58347559448,99322.71801683176,1,0.18797321468498734,0.0
2024-07-15,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-16,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-17,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-18,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-19,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-20,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-21,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-22,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-23,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-24,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-25,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-26,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-27,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-28,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-29,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
2024-07-30,122306.12374306742,122306.12374306742,0,0.0,6.916372755131673e-05
